,Nome,Autor,Editora,Ano,preço
0,A idade média passo a passo,Vincent Carpentier,Claro Enigma,2014,"R$ 10,02"
1,Cidadania: um projeto em construção,Andre Botelho e Lilia Moritz Schwarcz,Claro Enigma,2013,"R$ 6,00"
2,O que é arte contemporânea?,"Klein, Jacky E Klein, Suzy",Claro Enigma,2019,"R$ 15,00"
3,A Grécia antiga passo a passo,Eric Dars,Claro Enigma,2015,"R$ 16,89"
4,A pré-história passo a passo,Hildegard Feist; Colette Swinnen; Loic Mehee,Claro Enigma,2014,"R$ 6,00"
5,Nem preto nem branco muito pelo contrário,Lilia Moritz Schwarcz,Claro Enigma,2013,"R$ 21,90"
6,O Egito antigo passo a passo,"Beler, Aude Gros De",Claro Enigma,2016,"R$ 15,00"
7,A ilíada de Homero adaptada para jovens,"Lourenco, Frederico",Claro Enigma,2016,"R$ 20,00"
8,De olho em Mário de Andrade,Andre Botelho,Claro Enigma,2012,"R$ 15,00"
9,De olho em Euclides da Cunha,Millandre Garcia,Claro Enigma,2009,"R$ 8,00"
10,Artes indígenas,Alberto Martins,Claro Enigma,2014,"R$ 40,00"
11,A revolução francesa passo a passo,Gerard Dhotel,Claro Enigma,2015,"R$ 30,00"
12,Química em questão,Alfredo Luiz Mateus,Claro Enigma,2012,"R$ 23,85"
13,De olho em Zumbi dos Palmares,Flavio Dos Santos Gomes,Claro Enigma,2011,"R$ 24,00"
14,Vidas dos grandes artistas,Charlie Ayres,Claro Enigma,2013,"R$ 8,91"
15,O século da escassez,"Nov - Whately, Marussia",Claro Enigma,2016,"R$ 6,00"
16,Índios no Brasil,Manuela Carneiro Da Cunha,Claro Enigma,2013,"R$ 36,00"
17,A Odisseia de Homero adaptada para jovens,Frederico Lourenço,Claro Enigma,2012,"R$ 18,00"
18,Primeiros socorros,"VARELLA, DRAUZIO",Claro Enigma,2011,"R$ 6,00"
19,De olho em D. Pedro II e seu reino tropical,Lilia Moritz Schwarcz,Claro Enigma,2009,"R$ 10,00"
